id,user_id,username,action,target_table,record_id,details,ip_address,created_at
1818,5,Kiel-Senpai,LOGIN,,,"Logged in — role: user",SDP-DP-115,"2026-04-15 23:53:54"
1819,5,Kiel-Senpai,LOGOUT,,,"Logged out",SDP-DP-115,"2026-04-15 23:54:00"
1820,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-04-15 23:54:07"
1821,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-04-16 00:02:05"
1822,0,Guest,LOGIN,,,"Guest login",SDP-DP-115,"2026-04-16 00:02:06"
1823,0,Guest,LOGOUT,,,"Logged out",SDP-DP-115,"2026-04-16 00:02:22"
1824,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-04-16 00:02:29"
1825,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-04-16 00:04:18"
1826,0,Guest,LOGIN,,,"Guest login",SDP-DP-115,"2026-04-16 00:04:20"
1827,0,Guest,LOGOUT,,,"Logged out",SDP-DP-115,"2026-04-16 00:04:30"
1828,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-04-16 00:04:37"
1829,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-04-16 00:05:00"
1830,0,Guest,LOGIN,,,"Guest login",SDP-DP-115,"2026-04-16 00:05:01"
1831,0,Guest,LOGOUT,,,"Logged out",SDP-DP-115,"2026-04-16 00:06:10"
1832,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-04-16 00:06:17"
